id,cfu_coliscan,cfu_rcard
20240530_Fleets Branch,416.66666666666663,266.66666666666663
20240530_Harvell Dam,33.33333333333333,133.33333333333331
20240606_Fleets Branch,2333.3333333333335,2700
20240606_Harvell Dam,83.33333333333331,133.33333333333331
20240613_Fleets Branch,433.33333333333337,2833.333333333333
20240613_Harvell Dam,150,300
20240620_ Fleets Branch,1000,600
20240620_Harvell Dam,99.99999999999999,133.33333333333331
20240627_Fleets Branch,633.3333333333333,400
20240627_Harvell Dam,166.66666666666669,266.66666666666663
20240702_Fleets Branch,2616.6666666666665,3433.3333333333335
20240702_Harvell Dam,300,233.33333333333334
20240711_Fleets Branch,1516.666666666667,3600
20240711_Harvell Dam,183.33333333333334,133.33333333333331
20240718_Fleets Branch,816.6666666666669,2200
20240718_Harvell Dam,333.3333333333333,800
20240726_Willcox Dam,66.66666666666666,66.66666666666666
20240815_Harvell Dam,66.66666666666666,16.666666666666664
20240822_Harvell Dam,33.33333333333333,100
