date,precip_cm,tmax,tmin,tobs
2024-01-01,0.5,8.9,0.6,2.2
2024-01-02,0,8.3,-4.4,-4.4
2024-01-03,0,10,-5,4.4
2024-01-04,0,6.7,-5.6,-5.6
2024-01-05,0,6.7,-7.2,0.6
2024-01-06,25.7,11.7,0.6,4.4
2024-01-07,0,13.3,-1.7,-1.7
2024-01-08,0,9.4,-2.2,4.4
2024-01-09,86.1,18.9,4.4,7.2
2024-01-10,0.3,10.6,-1.1,-0.6
2024-01-11,0,13.9,-1.7,-1.7
2024-01-12,15.7,18.9,-2.2,13.3
2024-01-13,0,13.3,-0.6,0
2024-01-14,0,13.9,-0.6,1.1
2024-01-15,3,2.8,0,0
2024-01-16,5.6,2.2,-9.4,-9.4
2024-01-17,0,1.1,-10,-7.2
2024-01-18,1.3,8.3,-7.2,1.1
2024-01-19,0,5.6,-5,-4.4
2024-01-20,0,0.6,-10,-10
2024-01-21,0,3.3,-10.6,-10.6
2024-01-22,0,8.3,-10.6,-3.3
2024-01-23,0,11.7,-3.3,7.2
2024-01-24,2.5,21.1,7.2,20
2024-01-25,2.5,21.1,7.2,20
2024-01-26,0,21.7,6.1,17.2
2024-01-27,18.3,18.3,7.8,8.9
2024-01-28,2.5,8.9,7.2,7.2
2024-01-29,0.3,12.2,-1.1,-0.6
2024-01-30,0,13.3,-1.1,3.9
2024-01-31,0,7.8,-1.1,3.9
2024-02-01,0,13.3,-1.1,3.9
2024-02-02,0,15.6,0,2.2
2024-02-03,0,10,-3.9,-3.9
2024-02-04,0,11.7,-3.9,-2.8
2024-02-05,0,12.2,-3.3,1.1
2024-02-06,0,7.8,-5,-4.4
2024-02-07,0,10.6,-5,-3.3
2024-02-08,0,13.9,-3.9,6.7
2024-02-09,0,15.6,6.1,11.7
2024-02-10,1.8,20.6,11.1,13.3
2024-02-11,20.3,14.4,11.7,11.7
2024-02-12,20.6,12.2,10,10
2024-02-13,0,12.8,0.6,1.1
2024-02-14,0,13.9,-2.2,-2.2
2024-02-15,0,14.4,-2.2,3.3
2024-02-16,0,12.8,2.2,5
2024-02-17,0,9.4,-3.3,-2.8
2024-02-18,0,8.9,-3.3,-3.3
2024-02-19,0,11.7,-3.9,-3.9
2024-02-20,0,10.6,-3.9,-1.1
2024-02-21,0,10.6,-1.7,-1.7
2024-02-22,0,17.8,-1.7,7.8
2024-02-23,7.6,12.2,3.3,4.4
2024-02-24,5.1,13.3,1.7,2.2
2024-02-25,0,10,0,3.9
2024-02-26,0,20.6,3.3,10
2024-02-27,2.8,18.3,8.9,16.1
2024-02-28,14,20,2.8,2.8
2024-02-29,0,11.1,-1.7,-1.1
2024-03-01,22.1,13.3,-1.7,12.2
2024-03-02,15.5,15,5.6,6.1
2024-03-03,0,20,6.1,6.1
2024-03-04,17.8,19.4,5.6,11.7
2024-03-05,0,16.1,11.7,13.3
2024-03-06,25.4,15.6,13.3,13.3
2024-03-07,0,20.6,6.7,6.7
2024-03-08,0.5,16.1,6.1,7.2
2024-03-09,18.5,18.9,7.2,11.7
2024-03-10,0,13.9,2.8,2.8
2024-03-11,0,16.1,2.2,2.2
2024-03-12,0,22.8,1.7,5
2024-03-13,0,24.4,5,6.1
2024-03-14,0,27.2,5.6,15.6
2024-03-15,0.5,25.6,12.2,12.2
2024-03-16,0,20,10,13.3
2024-03-17,0,22.8,9.4,9.4
2024-03-18,0,13.9,1.1,1.1
2024-03-19,0,12.8,0.6,4.4
2024-03-20,0,21.1,3.9,5
2024-03-21,0,13.9,1.7,1.7
2024-03-22,22.4,16.7,1.1,13.9
2024-03-23,17,17.8,1.7,1.7
2024-03-24,0,11.1,0.6,1.1
2024-03-25,0,15,1.1,2.2
2024-03-26,0.3,17.2,1.7,7.2
2024-03-27,36.1,10.6,6.7,10
2024-03-28,2.8,12.2,3.9,4.4
2024-03-29,0,20.6,2.8,3.9
2024-03-30,0,25,3.3,8.9
2024-03-31,3.6,23.9,8.3,9.4
2024-04-01,0,23.9,8.9,11.1
2024-04-02,0,22.2,11.1,12.2
2024-04-03,23.6,24.4,6.1,6.1
2024-04-04,1.3,13.9,5,5
2024-04-05,0,15,3.3,3.9
2024-04-06,0,14.4,2.8,2.8
2024-04-07,0,18.9,1.7,5.6
2024-04-08,0,23.3,4.4,15
2024-04-09,0,24.4,12.8,16.1
2024-04-10,0,23.3,16.1,16.7
2024-04-11,1.3,22.2,15.6,18.3
2024-04-12,0,21.1,10,10
2024-04-13,0,22.2,5,5
2024-04-14,0,27.2,4.4,16.7
2024-04-15,7.6,31.7,15.6,16.1
2024-04-16,0,23.9,12.8,13.3
2024-04-17,0,23.9,12.2,17.8
2024-04-18,0,28.9,11.7,11.7
2024-04-19,0.8,17.2,11.1,12.2
2024-04-20,0,23.3,12.2,12.8
2024-04-21,6.9,12.8,5,6.7
2024-04-22,0,16.1,3.3,3.3
2024-04-23,0,22.2,2.8,13.9
2024-04-24,1,22.8,9.4,9.4
2024-04-25,0,17.8,7.8,8.3
2024-04-26,0,18.3,7.8,11.1
2024-04-27,0,19.4,11.1,14.4
2024-04-28,0,28.9,14.4,16.7
2024-04-29,0,30.6,15.6,17.8
2024-04-30,0,28.3,16.7,16.7
2024-05-01,0,28.3,15,15.6
2024-05-02,0,31.7,15,17.2
2024-05-03,0,31.7,13.9,13.9
2024-05-04,30.5,17.8,13.9,17.8
2024-05-05,29.5,25.6,17.8,21.1
2024-05-06,14.5,27.2,17.8,20
2024-05-07,0,27.2,18.9,20.6
2024-05-08,0,32.2,18.9,19.4
2024-05-09,0,26.7,17.8,18.3
2024-05-10,1,26.7,11.7,11.7
2024-05-11,2.5,20.6,10.6,11.1
2024-05-12,0,22.8,10,10
2024-05-13,0,25.6,10,16.7
2024-05-14,53.3,22.2,16.7,17.8
2024-05-15,0,22.2,15,15.6
2024-05-16,0,26.1,15,15
2024-05-17,15.2,23.3,15,16.1
2024-05-18,19.1,23.3,15,16.7
2024-05-19,0,23.3,15,15.6
2024-05-20,0,25.6,13.9,13.9
2024-05-21,0,28.3,13.9,17.8
2024-05-22,0,31.1,17.8,20
2024-05-23,0,30.6,20,20.6
2024-05-24,13.2,28.3,18.3,18.3
