date,precip_cm,tmax,tmin,tobs
2024-05-25,0,30.6,18.3,20.6
2024-05-26,3.3,31.7,19.4,19.4
2024-05-27,22.1,28.3,18.9,18.9
2024-05-28,0,28.3,15.6,15.6
2024-05-29,2.8,28.3,13.9,13.9
2024-05-30,3.3,24.4,10.6,10.6
2024-05-31,0,23.9,10,10
2024-06-01,0,27.2,10,16.7
2024-06-02,0,27.2,16.1,21.1
2024-06-03,2,30,18.9,19.4
2024-06-04,0.8,31.7,18.9,21.7
2024-06-05,0,28.9,21.1,22.8
2024-06-06,1,30.6,20.6,20.6
2024-06-07,0,30,15.6,15.6
2024-06-08,0,28.9,15,20.6
2024-06-09,0,30.6,17.8,17.8
2024-06-10,0,28.9,16.7,17.2
2024-06-11,0,27.2,16.1,16.1
2024-06-12,0,28.3,16.1,19.4
2024-06-13,0,31.1,19.4,20.6
2024-06-14,0,32.8,20.6,21.1
2024-06-15,0,30.6,16.7,16.7
2024-06-16,0,31.1,16.1,19.4
2024-06-17,0,31.7,19.4,20.6
2024-06-18,0,32.8,18.3,18.3
2024-06-19,0,31.7,17.8,18.9
2024-06-20,0,31.7,18.9,20
2024-06-21,0,33.9,18.9,21.7
2024-06-22,0,36.1,21.7,25
2024-06-23,15.5,35.6,24.4,25.6
2024-06-24,0,34.4,17.2,17.8
2024-06-25,0,33.3,17.2,22.8
2024-06-26,0.3,37.2,22.2,22.2
2024-06-27,1.3,31.1,20.6,22.2
2024-06-28,0,31.1,21.1,22.2
2024-06-29,0,34.4,21.7,26.7
2024-06-30,29.5,35,20.6,20.6
2024-07-01,0,29.4,16.1,17.8
2024-07-02,0,26.1,15.6,16.1
2024-07-03,0,30.6,16.1,21.1
2024-07-04,4.1,34.4,21.1,25
2024-07-05,0,36.7,24.4,25.6
2024-07-06,0,36.1,25,25
2024-07-07,0,32.8,23.9,23.9
2024-07-08,2.5,33.9,23.3,24.4
2024-07-09,0,35.6,24.4,25
2024-07-10,0,35,25,25
2024-07-11,11.7,31.1,24.4,24.4
2024-07-12,51.8,27.8,23.9,27.2
2024-07-13,5.1,31.7,23.3,23.9
2024-07-14,0,35,23.3,23.9
2024-07-15,0,35,23.3,25
2024-07-16,0,35,25,25.6
2024-07-17,9.9,33.9,22.8,23.9
2024-07-18,11.9,27.8,23.9,24.4
2024-07-19,0.3,30.6,22.8,23.9
2024-07-20,27.9,28.3,22.2,22.2
2024-07-21,3.6,31.1,22.2,22.8
2024-07-22,7.9,28.3,22.8,25
2024-07-23,28.7,31.7,23.3,24.4
2024-07-24,4.8,30.6,22.8,23.3
2024-07-25,2.8,26.7,23.3,25
2024-07-26,0,28.3,20,20
2024-07-27,0,29.4,17.2,17.8
2024-07-28,0,30.6,17.2,21.1
2024-07-29,0,30,20.6,22.8
2024-07-30,30.5,31.1,22.2,23.3
2024-07-31,0,32.8,23.3,23.9
2024-08-01,0,33.9,23.3,26.1
2024-08-02,0.8,34.4,23.3,23.9
2024-08-03,20.3,32.8,21.1,22.8
2024-08-04,2.5,30.6,22.8,25
2024-08-05,0,31.7,23.9,23.9
2024-08-06,1.8,30.6,23.9,23.9
2024-08-07,17.8,29.4,23.9,25
2024-08-08,21.6,29.4,25,27.8
2024-08-09,1.8,29.4,24.4,24.4
2024-08-10,0,31.7,23.3,23.3
2024-08-11,0,30,21.1,21.1
2024-08-12,0,28.9,19.4,19.4
2024-08-13,0,28.3,18.9,19.4
2024-08-14,0,29.4,17.8,18.3
2024-08-15,0,30,17.8,18.3
2024-08-16,0,31.1,17.8,22.2
2024-08-17,0,31.1,21.7,22.8
2024-08-18,8.1,30.6,21.7,22.8
2024-08-19,25.4,30.6,20,20
2024-08-20,0,25,13.3,13.3
2024-08-21,0,24.4,12.2,12.8
2024-08-22,0,26.7,12.2,13.3
2024-08-23,0,26.7,13.3,13.9
2024-08-24,0,28.3,13.3,14.4
2024-08-25,0,29.4,13.9,18.3
2024-08-26,1.8,31.7,17.8,22.8
2024-08-27,0,32.2,22.8,23.3
2024-08-28,0,35.6,23.3,23.3
2024-08-29,55.9,35,21.7,22.8
2024-08-30,4.3,28.9,22.8,25
2024-08-31,0,30.6,22.8,22.8
2024-09-01,3.3,29.4,22.8,23.3
2024-09-02,0,29.4,15,17.2
2024-09-03,0,23.9,14.4,15.6
2024-09-04,0,25,15.6,16.7
2024-09-05,0,26.1,15.6,15.6
2024-09-06,0,26.7,15.6,19.4
2024-09-07,2.3,27.2,11.7,12.2
2024-09-08,0,23.3,11.1,11.1
2024-09-09,0,25,11.1,12.8
2024-09-10,0,28.9,12.2,12.8
2024-09-11,0,28.9,12.8,15.6
2024-09-12,0,18.9,15,18.9
2024-09-13,0,27.2,18.9,21.7
2024-09-14,0,27.2,20,20
2024-09-15,0,27.2,17.8,17.8
2024-09-16,6.4,23.9,17.8,23.3
2024-09-17,10.2,26.1,23.3,25.6
2024-09-18,22.6,28.3,25.6,27.2
2024-09-19,0,27.2,18.9,18.9
2024-09-20,0,28.3,17.2,17.2
2024-09-21,3.3,28.9,16.7,20.6
2024-09-22,0,25,16.7,17.2
2024-09-23,1.8,24.4,16.7,18.9
2024-09-24,18.5,22.2,18.9,22.2
2024-09-25,1.5,27.2,22.2,22.8
2024-09-26,0.5,27.8,22.8,23.9
2024-09-27,18.5,27.2,23.3,23.3
2024-09-28,0,29.4,18.9,19.4
2024-09-29,11.9,28.9,19.4,22.2
2024-09-30,23.1,25,21.7,22.8
2024-10-01,82.3,28.9,22.8,25
2024-10-02,0,25.6,18.9,19.4
2024-10-03,0,25,17.2,17.8
2024-10-04,0,26.1,17.8,20
2024-10-05,0,26.7,14.4,15
2024-10-06,0,25.6,14.4,17.2
2024-10-07,0,27.2,11.7,12.2
2024-10-08,0,21.1,8.9,8.9
2024-10-09,0,23.9,8.9,13.3
2024-10-10,0,18.3,6.1,6.1
2024-10-11,0,21.1,5.6,8.3
2024-10-12,0,26.7,8.3,10.6
2024-10-13,0,26.1,10.6,16.7
2024-10-14,0,22.8,6.1,6.1
2024-10-15,0,16.7,5.6,9.4
2024-10-16,0,15,5,7.8
2024-10-17,0,16.1,2.8,3.3
2024-10-18,0,20.6,2.8,5
2024-10-19,0,22.2,4.4,5.6
2024-10-20,0,23.3,5,6.1
2024-10-21,0,26.1,5.6,7.2
2024-10-22,0,26.1,6.1,9.4
2024-10-23,0,26.1,8.9,11.7
2024-10-24,0,22.2,3.9,5
2024-10-25,0,22.2,3.9,13.9
2024-10-26,0,24.4,6.7,7.2
2024-10-27,0,17.2,4.4,4.4
2024-10-28,0,19.4,3.3,4.4
2024-10-29,0,22.8,4.4,10.6
2024-10-30,0,26.7,10.6,14.4
2024-10-31,0,27.2,13.9,18.9
2024-11-01,0,25,15,16.1
2024-11-02,0,19.4,4.4,4.4
2024-11-03,0,17.8,3.9,3.9
2024-11-04,0,18.9,3.9,12.8
2024-11-05,0,25.6,12.8,12.8
2024-11-06,0,27.2,12.2,20
2024-11-07,0,27.8,17.2,17.8
2024-11-08,0,25.6,8.9,12.8
2024-11-09,0,16.7,2.2,3.3
2024-11-10,30.7,18.3,3.3,16.1
2024-11-11,0.5,23.3,8.9,9.4
2024-11-12,0,23.3,5,5
2024-11-13,0,11.7,3.9,6.7
2024-11-14,39.4,12.2,6.7,11.7
2024-11-15,0,13.9,6.7,7.8
2024-11-16,0,18.9,3.3,3.9
2024-11-17,0,17.2,2.8,4.4
2024-11-18,0,22.2,4.4,8.9
2024-11-19,1.3,21.1,8.3,15
2024-11-20,0.8,18.3,5.6,5.6
2024-11-21,0,13.3,1.1,1.1
2024-11-22,0,9.4,0.6,6.1
2024-11-23,0,16.7,2.8,3.3
2024-11-24,0,18.3,1.7,1.7
2024-11-25,0,19.4,1.1,11.1
2024-11-26,0,20.6,0.6,0.6
2024-11-27,0,13.9,0,11.7
2024-11-28,4.6,17.2,-0.6,0
2024-11-29,0,11.7,-2.8,-2.8
2024-11-30,0,5.6,-3.9,2.2
2024-12-01,0,10,-2.2,-1.7
2024-12-02,0,5,-6.7,-5.6
2024-12-03,0,6.1,-7.8,-7.8
2024-12-04,0,7.2,-8.9,6.1
2024-12-05,0,10.6,-6.1,-6.1
2024-12-06,0,3.9,-10,-9.4
2024-12-07,0,8.3,-10,2.2
2024-12-08,0,20.6,2.2,9.4
2024-12-09,0,15.6,5.6,10.6
2024-12-10,1.3,19.4,10.6,19.4
2024-12-11,31.2,20,0.6,0.6
2024-12-12,0,8.9,-3.9,-3.3
2024-12-13,0,10.6,-4.4,0.6
2024-12-14,0,7.2,0.6,1.1
2024-12-15,5.1,9.4,0.6,5.6
2024-12-16,6.6,13.3,5,12.8
2024-12-17,0,20,6.7,9.4
2024-12-18,2,19.4,7.8,8.3
2024-12-19,1.3,10,2.2,5
2024-12-20,0,10.6,-0.6,2.8
2024-12-21,0,6.7,-6.7,-6.1
2024-12-22,0,2.8,-9.4,-8.9
2024-12-23,NA,NA,NA,-6.7
2024-12-24,0,8.9,-9.4,0.6
2024-12-25,0,8.9,-2.2,0.6
2024-12-27,NA,NA,NA,7.2
2024-12-28,0,17.2,7.2,16.1
2024-12-29,1,21.7,13.3,13.9
